name,created,source,address,rating,number_of_reviews,location_point,about,tags,main_photo_url,order_page,curated,is_free,price
The Sounding Museum Berlin,2021-10-28 10:00:08,GoogleMaps,"Behmstraße 13, 13357 Berlin, Germany",4.7,63,"('SRID=4326;POINT (13.3884537 52.550374899999994)',)",Interactive musical museum.,"Museums, Amusements, Music",https://lh5.googleusercontent.com/p/AF1QipMGBu-hlnJzwKF3w5UJUyMQwXHZWIV6OHrEJ6pQ=w978-h552-k-no,,FALSE,TRUE,
Einstein Tower,2021-10-28 09:53:10,GoogleMaps,"Albert-Einstein-Straße, 14473 Potsdam, Germany",4.6,224,"('SRID=4326;POINT (13.0638586 52.3788791)',)","1920s-built astrophysical observatory. Landmark Expressionist building with bust of Einstein, offering guided tours by appointment.",Architecture,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Einsteinturm_7443.jpg/800px-Einsteinturm_7443.jpg?1635926050387,,FALSE,TRUE,
Ephraim Palace,2021-10-28 09:52:35,GoogleMaps,"Poststraße 16, 10178 Berlin, Germany",4.4,533,"('SRID=4326;POINT (13.407188999999999 52.515896999999995)',)",Museum on the city in elegant townhouse. Rococo building with a museum that houses exhibits on the history & culture of Berlin's 800 years.,"Architecture, Museums",https://lh5.googleusercontent.com/p/AF1QipMaAg7UNMyE4t1Di7MuLYcYn054NWUehnvBq0MG=w828-h552-k-no,,FALSE,TRUE,
Watt,2021-10-28 09:50:57,GoogleMaps,"Metzer Str. 9, 10405 Berlin, Germany",4.5,142,"('SRID=4326;POINT (13.415802 52.5314208)',)","Cozy joint for drinks & live music. Snug neighborhood tavern with beer, wine & cocktails, plus a tiny stage for live bands.",Nightlife,https://lh5.googleusercontent.com/p/AF1QipOx879oosGh6pcHTpgsHYcS9rpt01DWGYa1LNu8=w978-h552-k-no,,FALSE,TRUE,
Clánndestino,2021-10-28 09:51:20,GoogleMaps,"Waldemarstraße 29, 10999 Berlin, Germany",4.7,183,"('SRID=4326;POINT (13.41887 52.5039419)',)",Tapas & Winebar.,"Nightlife, Hidden Gems",https://lh5.googleusercontent.com/p/AF1QipMqnREvdTuxdoBH1oLiQF4D37j3Y1sBFlF3d7pb=w846-h552-k-no,,FALSE,TRUE,
Ernst-Thälmann-Denkmal,2021-10-28 09:54:56,GoogleMaps,"Greifswalder Str. 52, 10405 Berlin, Germany",4,247,"('SRID=4326;POINT (13.4337701 52.5381347)',)",Colossal statue in honor of the KPD leader Ernst Thälmann.,Architecture,https://lh5.googleusercontent.com/p/AF1QipO_W_U7LxJAPBPVGSlgqSY78XeeBvbEH7PBmTAl=w480-h594-k-no,,FALSE,TRUE,
Fichtebunker,2021-10-28 09:50:14,GoogleMaps,"Fichtestraße 6, 10967 Berlin, Germany",4.6,726,"('SRID=4326;POINT (13.412911099999999 52.490352599999994)',)",Historic gas storage tank and air raid shelter. Museum of underground bunkers & the history of air raid shelters used during World War II.,"Historic Sites, Museums, Architecture",https://lh5.googleusercontent.com/p/AF1QipPIsN5-459NW2Q4FDpu7qavvDoDSOu8mzUy1RZ-=w738-h552-k-no,,FALSE,TRUE,
X-Terrain,2021-10-28 09:50:50,GoogleMaps,"Oranienburger Str. 40, 10117 Berlin, Germany",4.3,195,"('SRID=4326;POINT (13.3909784 52.525684999999996)',)",Old cellar style quirky bar.,Nightlife,https://lh5.googleusercontent.com/p/AF1QipNXN7pmBfHzVf2XzIcosJXf5uv2ICsug6QVf9X8=w480-h636-k-no,,FALSE,TRUE,
Franziskaner-Klosterkirche,2021-10-28 09:59:39,GoogleMaps,"Klosterstraße 73a, 10179 Berlin, Germany",4.4,281,"('SRID=4326;POINT (13.4126665 52.518513399999996)',)",Striking church ruins.,"Historic Sites, Architecture, Hidden Gems",https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Telespargel_Ruine_Klosterkirche.JPG/1920px-Telespargel_Ruine_Klosterkirche.JPG?1635856822641,,FALSE,TRUE,
French Cathedral,2021-10-28 09:52:43,GoogleMaps,"Gendarmenmarkt 7, 10117 Berlin, Germany",4.5,836,"('SRID=4326;POINT (13.392414299999999 52.514393299999995)',)",French church with a panoramic tower. Stately French church dating back to the 17th century featuring a domed tower with sweeping views.,"Architecture, Religion",https://lh5.googleusercontent.com/p/AF1QipMLDxJ0ZVZCT6eEFeokcwqNUNFLEAzJXnivNuti=w732-h552-k-no,,FALSE,TRUE,
Mr. Susan,2021-10-28 09:51:00,GoogleMaps,"Krausnickstraße 1, 10115 Berlin, Germany",4.7,224,"('SRID=4326;POINT (13.3958009 52.524429999999995)',)","Hip, subterranean craft cocktail lounge. Creative cocktails poured in a stylish basement setting with low lights, funky decor & late hours.",Nightlife,https://lh5.googleusercontent.com/p/AF1QipMtcOTzUjDrQNj0xM3HAehZvJV_ivBUh8MDcEQ_=w828-h552-k-no,,FALSE,TRUE,
Futurium,2021-10-28 09:52:35,GoogleMaps,"Alexanderufer 2, 10117 Berlin, Germany",4.5,4026,"('SRID=4326;POINT (13.374345 52.523931)',)","Museum dedicated to life in the future. Interactive exhibits on vital issues for the future, like climate, housing, food & technology.",Museums,https://futurium.de/uploads/images/_stageLandscapeMRetina/Futurium_DavidvonBecker_Geb21_4716.jpg,,FALSE,TRUE,
Gendarmenmarkt,2021-10-28 09:52:35,GoogleMaps,"Gendarmenmarkt, 10117 Berlin, Germany",4.6,33027,"('SRID=4326;POINT (13.3926698 52.5137224)',)","18th-century square & events space. Public square lined with impressive architecture, hosting an annual Christmas market & ice rink.","Architecture, Popular",https://lh5.googleusercontent.com/p/AF1QipNnkb6MeqSMqegzyg7K7OCcpfv-PC_7ehtASoI=w480-h636-k-no,,FALSE,TRUE,
German Chancellery,2021-10-28 09:50:14,GoogleMaps,"Willy-Brandt-Straße 1, 10557 Berlin, Germany",3.8,798,"('SRID=4326;POINT (13.3692701 52.520162799999994)',)",Modern building housing government. The chancellor's executive offices are housed in this hyper-modern government building.,Architecture,https://lh5.googleusercontent.com/p/AF1QipM8HvCnuXJPCj_ZIvnMamMqMIBrrmMoeSv9cOFe=w732-h552-k-no,,FALSE,TRUE,
German Historical Museum,2021-10-28 09:52:32,GoogleMaps,"Unter den Linden 2, 10117 Berlin, Germany",4.5,8547,"('SRID=4326;POINT (13.3969499 52.5181519)',)",Exhibitions tracing German history. Baroque armory & modern glass hall housing permanent & temporary exhibitions on German history.,"Architecture, Historic Sites, Museums",https://lh5.googleusercontent.com/p/AF1QipMfBNVpsrTZ9wOAYCE-Wr6wy8hv4Dw0B9B9WkBg=w1032-h552-k-no,,FALSE,TRUE,
Glienicke Palace,2021-10-28 09:53:09,GoogleMaps,"Königstraße 36, 14109 Berlin, Germany",4.5,368,"('SRID=4326;POINT (13.095462099999999 52.413906999999995)',)",Neoclassical villa & a waterfront park. Elegant 1820s villa set on serene landscaped grounds popular for strolls & classical music concerts.,"Architecture, Walking & Biking, Urban Parks",https://lh5.googleusercontent.com/p/AF1QipP821qgMY_ObAEDPTegtBlIz7ZgRe5e5Di3YqOh=w732-h552-k-no,,FALSE,TRUE,
Großer Tiergarten,2021-10-28 09:54:29,GoogleMaps,"Str. des 17. Juni, 10785 Berlin, Germany",4.6,20151,"('SRID=4326;POINT (13.3591634 52.5141516)',)","Public park on an old hunting reserve. Berlin's largest & oldest park, including family amenities, walking paths & a victory column.","Nature, Popular, Walking & Biking, Urban Parks, Architecture",https://upload.wikimedia.org/wikipedia/commons/0/08/Berlin_Tiergarten_Siegess%C3%A4ule_Luftansicht.jpg?1635757192902,,FALSE,TRUE,
Hackesche Höfe,2021-10-28 09:49:14,GoogleMaps,"Rosenthaler Str. 40, 10178 Berlin, Germany",4.6,3288,"('SRID=4326;POINT (13.4024126 52.524022099999996)',)","Art nouveau courtyards with shops. Complex of interlinked Jugendstil courtyards home to boutiques, cafes & art exhibitions.","Shopping, Popular, Art, Architecture",https://www.visitberlin.de/system/files/styles/visitberlin_content_image_medium_visitberlin_desktop_2x/private/image/Hackescher%20Markt_c_scholvien18_DL_PPT_0.jpg.webp?itok=spXCict6,,FALSE,TRUE,
Museum Pankow - Standort Dunckerstraße,2021-10-28 09:55:53,GoogleMaps,"Dunckerstraße 77, 10437 Berlin, Germany",4.4,65,"('SRID=4326;POINT (13.421389999999999 52.54362)',)",Local History Museum.,"Museums, Culture",https://lh5.googleusercontent.com/p/AF1QipNCtLkhFAgbp4JqoJoaDkrf3xiUOJB6lRSOoFd0=w828-h552-k-no,,FALSE,TRUE,
Pankow Museum - Prenzlauer Allee location,2021-10-28 09:56:01,GoogleMaps,"Prenzlauer Allee 227-228, 10405 Berlin, Germany",4.1,72,"('SRID=4326;POINT (13.419197299999999 52.533502999999996)',)",Local History Museum.,"Museums, Culture",https://lh5.googleusercontent.com/p/AF1QipNm2F53AUtgvfiG-5YZpRGnZ9yZ6FhKg7WzLzd9=w882-h552-k-no,,FALSE,TRUE,
Samurai Museum,2021-10-28 09:55:50,GoogleMaps,"Auguststraße 68, 10117 Berlin, Germany",4.6,83,"('SRID=4326;POINT (13.395098299999999 52.527241499999995)',)","Museum dedicated to the art of the samurai. The museum displays armour, helmets, masks, swords and sword armatures from the 8th to the 19th century. ","Museums, Hidden Gems",https://www.museumsportal-berlin.de/media/CACHE/images/7f6d1960b6f228b2294b4bdb5def02d3.jpg,,FALSE,TRUE,
Hochbunker Pallasstraße,2021-10-28 09:50:16,GoogleMaps,"Pallasstraße 28, 10781 Berlin, Germany",4.4,51,"('SRID=4326;POINT (13.359200699999999 52.4940515)',)",WWII bunker built by forced labor. This 4-story bunker was built by forced labor during WWII & is now a monument & exhibition space.,"Historic Sites, Architecture",https://lh5.googleusercontent.com/p/AF1QipPvuY78UIYMDtbukV5uu9HLB74zvzikzKFh5X3e=w732-h552-k-no,,FALSE,TRUE,
Sage Club,2021-10-28 09:50:46,GoogleMaps,"Köpenicker Str. 76, 10179 Berlin, Germany",4.3,239,"('SRID=4326;POINT (13.4170483 52.5109876)',)","3-story nightclub with a swimming pool. Hip 3-floor nightclub playing mixed musical styles, with garden swimming pool & plush booth seating.",Nightlife,https://lh5.googleusercontent.com/p/AF1QipNug1SK4L-p6LiC1KKRVUWVMZ0EbkQoy4xfb7Me=w480-h636-k-no,,FALSE,TRUE,
House of World Cultures,2021-10-28 09:52:35,GoogleMaps,"John-Foster-Dulles-Allee 10, 10557 Berlin, Germany",4.4,2063,"('SRID=4326;POINT (13.3644649 52.5185185)',)","International contemporary arts space. Artistic productions from around the world, with a focus on non-European cultures & societies.",Art,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Berlin_Haus_der_Kulturen_3.jpg/640px-Berlin_Haus_der_Kulturen_3.jpg?1635927364988,,FALSE,TRUE,
Hirsch & Hase,2021-10-28 09:51:18,GoogleMaps,"Brunnenstraße 73, 13355 Berlin, Germany",4.5,262,"('SRID=4326;POINT (13.393546299999999 52.541878499999996)',)",Gastropub.,Nightlife,https://lh5.googleusercontent.com/p/AF1QipMmC3ibw70fyFXaNY1-wTUfnJDvEXaG3mH2c0kA=w732-h552-k-no,,FALSE,TRUE,
Humboldt University of Berlin,2021-10-28 09:52:07,GoogleMaps,"Unter den Linden 6, 10117 Berlin, Germany",4.4,816,"('SRID=4326;POINT (13.3936551 52.517883)',)",A Prussian liberal arts university now offering varied courses & alma mater of 29 Nobel laureates.,"Architecture, Historic Sites",https://lh5.googleusercontent.com/p/AF1QipOUGIwyFpSnN1waxZP-lc2s_iyxGPOCDrvUGyaK=w1050-h552-k-no,,FALSE,TRUE,
ICC Berlin,2021-10-28 09:52:53,GoogleMaps,"Messedamm 22, 14057 Berlin, Germany",4.2,14711,"('SRID=4326;POINT (13.2807633 52.505333)',)","One of the largest conference centres in the world, known for its distinct architectural style.",Architecture,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/ICC_%26_Funkturm.jpg/1280px-ICC_%26_Funkturm.jpg,,FALSE,TRUE,
Invaliden Park,2021-10-28 09:52:47,GoogleMaps,"Invalidenstraße, 10115 Berlin, Germany",4.1,1313,"('SRID=4326;POINT (13.3760487 52.5296461)',)","Park with greenery & a granite sculpture. Historic 2.5-acre park featuring a green space with trees, plus a granite sculpture & waterfall.",Urban Parks,https://lh5.googleusercontent.com/p/AF1QipPSVU8i34FLkyQkL1BXOl4iR_t62aSX81fcW--T=w552-h552-k-no,,FALSE,TRUE,
James Simon Gallery,2021-10-28 09:52:38,GoogleMaps,"Bodestraße, 10178 Berlin, Germany",4.3,479,"('SRID=4326;POINT (13.397085899999999 52.5199218)',)","Museum Island’s sleek visitor center. Contemporary information center for Museum Island, with ticket desks, a cafe & a gift shop.",Art,https://lh5.googleusercontent.com/p/AF1QipP6ZcA4CyXAJm2PYZRim6js581v9TkP-Jb8v8-a=w852-h552-k-no,,FALSE,TRUE,
KaDeWe - Kaufhaus des Westens,2021-10-28 09:52:53,GoogleMaps,"Tauentzienstraße 21-24, 10789 Berlin, Germany",4.3,38753,"('SRID=4326;POINT (13.340993 52.5016021)',)","Iconic, stalwart department store. Vast department store, opened in 1907, with beauty products, gourmet food, fashion & home goods.","Architecture, Shopping",https://lh5.googleusercontent.com/p/AF1QipPQu4MBveHjQi5147FGNqdaPHTRdSTx3ADyWkaO=w732-h552-k-no,,FALSE,TRUE,
Kaiser Wilhelm Memorial Church,2021-10-28 09:52:50,GoogleMaps,"Breitscheidplatz, 10789 Berlin, Germany",4.6,17227,"('SRID=4326;POINT (13.335082 52.504818)',)","Modern rebuild of 19th-century church. Ruins of an original church, built in the 1890s and damaged in the war with more modern additions.","Architecture, Popular, Religion",https://lh5.googleusercontent.com/p/AF1QipO_TueFxZcoxKx0tfqFf2YuTVKIxQkk8rByP8m5=w480-h720-k-no,,FALSE,TRUE,
KÖNIG GALERIE,2021-10-28 09:52:40,GoogleMaps,"Alexandrinenstraße 118-121, 10969 Berlin, Germany",4.6,678,"('SRID=4326;POINT (13.400514399999999 52.5007314)',)",Art space in a Brutalist church. This gallery hosts art exhibitions & events within the Brutalist concrete St. Agnes church.,"Architecture, Art",https://lh5.googleusercontent.com/p/AF1QipMZWDWVUUFD62ziRQT-xbPeqZ-4gjVqFFHY2RMO=w480-h636-k-no,,FALSE,TRUE,
Königskolonnaden,2021-10-28 09:52:55,GoogleMaps,"Potsdamer Str., 10781 Berlin, Germany",4.3,56,"('SRID=4326;POINT (13.361024599999999 52.4939021)',)",The King colonnades are two colonnades built in the years 1777-1780 according to plans by Carl von Gontard. They were originally located on Königsstrasse in Old Berlin and were moved to Heinrich von Kleist Park in Schöneberg in 1910.,Architecture,https://lh5.googleusercontent.com/p/AF1QipN31KtIlBJss4SDUFMuyFiFBjMsxsPqFSGzc-Qt=w732-h552-k-no,,FALSE,TRUE,
George R,2021-10-28 09:51:00,GoogleMaps,"Wilhelmshavener Str. 57, 10551 Berlin, Germany",4.6,269,"('SRID=4326;POINT (13.3411111 52.5302778)',)",Candle-lit tavern with specialty drinks. Dark & cozy drinking spot serving classic & creative cocktails in a varied collection of glasses.,Nightlife,https://lh5.googleusercontent.com/p/AF1QipPw2X_9TJJHIAJVUOWywocq53mOSkE4DWTyC7Wr=w732-h552-k-no,,FALSE,TRUE,
Kupferstichkabinett Berlin,2021-10-28 09:52:45,GoogleMaps,"Gemäldegalerie, Matthäikirchplatz, 10785 Berlin, Germany",4.4,82,"('SRID=4326;POINT (13.3652464 52.5086866)',)",Collection of European drawings & prints. Utilitarian space featuring a vast collection of prints & drawings from noted European artists.,"Museums, Art",https://lh5.googleusercontent.com/p/AF1QipMFdOZxtRyLRHceHI96ElzzWQYom7ruBi3o6XD0=w732-h552-k-no,,FALSE,TRUE,
Hamburger Bahnhof - Museum für Gegenwart - Berlin,2021-10-28 09:48:45,GoogleMaps,"Invalidenstraße 50-51, 10557 Berlin, Germany",4.2,3990,"('SRID=4326;POINT (13.3721163 52.5284401)',)","Modern & contemporary art museum. An art museum in a former 19th-century railway station, showing works from 1960 to the present.","Museums, Art",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/InvalidenstrBerlin_12-2017_img1.jpg/1280px-InvalidenstrBerlin_12-2017_img1.jpg,,FALSE,TRUE,
KINDL - Zentrum für zeitgenössische Kunst,2021-10-28 09:48:48,GoogleMaps,"Am Sudhaus 3, 12053 Berlin, Germany",4.5,496,"('SRID=4326;POINT (13.4307669 52.479445)',)","Contemporary art in a former brewery. Art deco-era, brick-built former brewery from the 1920s, now home to modern-art displays & a cafe.","Art, Culture ",https://lh5.googleusercontent.com/p/AF1QipNWrEkMuYSVDzHK8erHxgzbNrM0RLEESRImuBYD=w630-h552-k-no,,FALSE,TRUE,
KW Institute for Contemporary Art,2021-10-28 09:48:32,GoogleMaps,"Auguststraße 69, 10117 Berlin, Germany",4.2,751,"('SRID=4326;POINT (13.3949752 52.5267846)',)","Temporary exhibits of modern artworks. Large exhibition space with artists' studios, a cafe & an innovative policy of ever-changing works.",Art,https://lh5.googleusercontent.com/p/AF1QipNmeQ6RLsTK4e1MZAf-CjWmydYe31sSwjgpuieS=w828-h552-k-no,,FALSE,TRUE,
Daimler Contemporary Berlin,2021-10-28 09:48:32,GoogleMaps,"Alte Potsdamer Str. 5, 10785 Berlin, Germany",4.4,141,"('SRID=4326;POINT (13.374775999999999 52.5084739)',)","Daimler Contemporary - Daimler Art Collection is housed in Weinhaus Huth in Berlin. The Daimler Art Collection is a Daimler AG art collection founded in 1977 by the then Daimler-Benz AG and comprises around 3000 works by more than 800 artists. The focus of the collection lies on abstract geometric image concepts. This includes, among others, the Bildsäulen-Dreiergruppe. The exhibition area is 600 square meters, with new exhibitions organized quarterly.",Art,https://lh5.googleusercontent.com/p/AF1QipOri6LVjvV8mC5Szq21L7lg96gPPOZEM_rqYHZj=w978-h552-k-no,,FALSE,TRUE,
Astronaut - Space Crusader,2021-10-28 09:56:27,GoogleMaps,"Mariannenstraße 8, 10999 Berlin, Germany",4.4,146,"('SRID=4326;POINT (13.422980899999999 52.499755199999996)',)",Iconic Graffiti mural.,"Art, Culture ",https://lh5.googleusercontent.com/p/AF1QipMCERvVE1F2bLORUEEFH71EWjnFfqkgZMiyvNEv=w480-h636-k-no,,FALSE,TRUE,
Museum of Decorative Arts,2021-10-28 09:48:41,GoogleMaps,"Matthäikirchplatz, 10785 Berlin, Germany",4.3,429,"('SRID=4326;POINT (13.3674001 52.5097046)',)","Internationally important museum of the decorative arts in Berlin, Germany, part of the Staatliche Museen zu Berlin (Berlin State Museums).",Art,https://lh5.googleusercontent.com/p/AF1QipO4NnCQMrGFavM42_jMMVKBb6mI1Evnb5GzYERi=w828-h552-k-no,,FALSE,TRUE,
Contemporary Fine Arts,2021-10-28 09:48:32,GoogleMaps,"Grolmanstraße 32/33, 10623 Berlin, Germany",4.4,78,"('SRID=4326;POINT (13.3238603 52.5037775)',)",Contemporary art displays in urban space. Changing exhibits of works by well-known international contemporary artists in a minimalist space.,Art,https://lh5.googleusercontent.com/p/AF1QipP1PSI3f3Z3frVGbHE3E4ct7beCcNAjt79D5ELu=w480-h852-k-no,,FALSE,TRUE,
Haus der Statistik Haus D,2021-10-28 09:50:14,GoogleMaps,"Otto-Braun-Straße 70-72, 10178 Berlin, Germany",4.3,122,"('SRID=4326;POINT (13.4190651 52.5235026)',)","Street art around a GDR-era building. Former House of Statistics for East German authorities built in 1970, now with vivid facade murals.",Art,https://www.zku-berlin.org/media/_processed_/4/9/csm_HDS-Statista-Frontal-_E9A9607_Tomaschko2_6c4c1f3081.jpeg,,FALSE,TRUE,
Boros Foundation,2021-10-28 09:48:32,GoogleMaps,"Reinhardtstraße 20, 10117 Berlin, Germany",4.4,928,"('SRID=4326;POINT (13.384125 52.5234611)',)","Private collection of contemporary art. Contemporary art collection in a former bunker, with international artists' work from 1990s onward.",Art,https://scontent.fsdv3-1.fna.fbcdn.net/v/t1.18169-9/14495256_10153698408361899_5356863860619734636_n.jpg?_nc_cat=104&ccb=1-5&_nc_sid=09cbfe&_nc_ohc=PM8Lll9o6UMAX9KwLID&_nc_ht=scontent.fsdv3-1.fna&oh=39c2fed33230c0445a9fd3552053a5e2&oe=619FC21B,,FALSE,TRUE,
Eigen + Art,2021-10-28 09:48:27,GoogleMaps,"Auguststraße 26, 10117 Berlin, Germany",4.6,52,"('SRID=4326;POINT (13.397119799999999 52.5269196)',)","Contemporary & conceptual art gallery. Gallery in former school, hosting temporary exhibitions of international contemporary artists' work.",Art,https://eigen-art.com/media/kha_berlin_1_1.jpg,,FALSE,TRUE,
Urban Spree,2021-10-28 09:48:32,GoogleMaps,"Revaler Str. 99, 10245 Berlin, Germany",4.4,2222,"('SRID=4326;POINT (13.4516618 52.5077339)',)","Art, music & dining next to train tracks. Trackside industrial complex hosting art galleries, dance clubs, food stands & a beer garden.",Art,https://lh5.googleusercontent.com/p/AF1QipM_bs7m6vgqBuT2WxtUAWHIP88gRO2Er2cdvR7k=w828-h552-k-no,,FALSE,TRUE,
Leise Park,2021-10-28 09:54:28,GoogleMaps,"Heinrich-Roller-Straße 24, 10405 Berlin, Germany",4.4,557,"('SRID=4326;POINT (13.4211111 52.5308333)',)","Wooded park at a former cemetery. This cemetery-turned-park is filled with trees & offers walking paths, preserved tombs & wildlife.","Nature, Architecture, Urban Parks, Hidden Gems",https://berlin-affin.de/wp-content/uploads/2019/02/Leise-Park.jpg,,FALSE,TRUE,
Art.City.People. - CreativeSpace&CraftCoffee,2021-10-28 09:48:38,GoogleMaps,"Oranienburger Str. 32, 10117 Berlin, Germany",4.8,137,"('SRID=4326;POINT (13.394299 52.525699599999996)',)",,"Art, Hidden Gems",https://lh5.googleusercontent.com/p/AF1QipMydG0bph2OZBD1AsUdyoitAV3UlKUj8DftCTUU=w480-h636-k-no,,FALSE,TRUE,
MUSEUM OF SILENCE,2021-10-28 09:55:30,GoogleMaps,"Linienstraße 154A, 10115 Berlin, Germany",4.1,84,"('SRID=4326;POINT (13.393726899999999 52.527594)',)",Free installation intended to allow silence and contemplation in an artful space.,"Art, Hidden Gems",http://museum-der-stille.de//wp-content/uploads/2016/04/MUSEUM-DER-STILLE_Passage_Michael-Marshall_Staab-Architekten_Sergei-Tchoban_Gewers-Pudewill_Max-Dudler_01.jpg,,FALSE,TRUE,
Urban Nation,2021-10-28 09:48:36,GoogleMaps,"Bülowstraße 7, 10783 Berlin, Germany",4.7,2380,"('SRID=4326;POINT (13.356606999999999 52.498642)',)","Graffiti, urban sculpture & photographs. Contemporary museum for exhibitions of street art, sculpture & photography, plus citywide murals.","Art, Popular",https://urban-nation.com/wp-content/uploads/UN2.png,,FALSE,TRUE,
Theodor-Wolff-Park,2021-10-28 09:54:27,GoogleMaps,"10969 Berlin, Germany",4.1,379,"('SRID=4326;POINT (13.390626699999999 52.5014287)',)","Park with a playground & sculptures. Tree-lined park featuring a playground & sculptures, plus grassy lawns crisscrossed by paths.","Art, Urban Parks",https://lh5.googleusercontent.com/p/AF1QipOcGlR9_lT1jck3E6-qxWcjMtQiO288HNRavwoV=w978-h552-k-no,,FALSE,TRUE,
Krumme Lanke Beach,2021-10-28 09:53:22,GoogleMaps,"14163 Berlin, Germany",4.4,174,"('SRID=4326;POINT (13.2388043 52.4538388)',)",Lakeside Beach.,Beach,https://lh5.googleusercontent.com/p/AF1QipO3hYry0HdIkqqRW1YKawbXD2nx0GzsaiYJbXVg=w732-h552-k-no,,FALSE,TRUE,
Strandbad Wannsee - Berliner Bäder,2021-10-28 09:53:37,GoogleMaps,"Wannseebadweg 25, 14129 Berlin, Germany",4.2,2983,"('SRID=4326;POINT (13.1794242 52.4381357)',)","Lido with a restaurant & boat rentals. Lakeside lido with dinghy & windsurfer rentals, plus volleyball courts on a sandy beach & dining.","Beach, Nature, Urban Parks, Watersports",https://lh5.googleusercontent.com/p/AF1QipP0qxSSg6Mbz4rLpuH9piUp-A7YWRW90-9akHr9=w978-h552-k-no,,FALSE,TRUE,
Strandbad Plötzensee,2021-10-28 09:53:32,GoogleMaps,"Nordufer 26, 13351 Berlin, Germany",4.5,2828,"('SRID=4326;POINT (13.329002299999999 52.543385199999996)',)","Outdoor swimming in a natural lake. Swimming lake in the city with sandy beach, naturist zone, play & sports areas, plus dining options.","Beach, Urban Parks",https://lh5.googleusercontent.com/p/AF1QipMyXBu8dKNMccD49XAulzJlIojFhj28aL8Z4r1i=w978-h552-k-no,,FALSE,TRUE,
Ludwigskirche,2021-10-28 09:53:07,GoogleMaps,"Ludwigkirchpl. 10, 10719 Berlin, Germany",4.7,302,"('SRID=4326;POINT (13.3217939 52.4976188)',)",Lutheran baroque-style church.,"Architecture, Religion",https://lh5.googleusercontent.com/p/AF1QipM7xSE6qWkdJv6SD5gvhqqjVb_ItnjHd9n4XHmi=w480-h636-k-no,,FALSE,TRUE,
David Hasselhoff Museum,2021-10-28 09:50:09,GoogleMaps,"Weinbergsweg 1A, 10119 Berlin, Germany",4.6,75,"('SRID=4326;POINT (13.401921999999999 52.530133299999996)',)","Tiny, quirky museum dedicated to the American actor, singer, producer and businessman David Hasselhoff.",Hidden Gems,https://lh5.googleusercontent.com/p/AF1QipPN865VSutclZQ6WkSWGjkoZvLtc44GhHP7yhQ_=w732-h552-k-no,,FALSE,TRUE,
Room of Silence,2021-10-28 09:50:13,GoogleMaps,"Pariser Platz 7, 10117 Berlin, Germany",4.7,135,"('SRID=4326;POINT (13.3779107 52.516521399999995)',)","Serene, silent room in a historical gate. Within Brandenburg Gate, this silent room offers a tranquil, meditative respite from the bustling crowds.",Hidden Gems,https://media-cdn.tripadvisor.com/media/photo-s/10/a5/bd/e8/raum-der-stille.jpg,,FALSE,TRUE,
The Empty Library ,2021-10-28 09:50:08,GoogleMaps,"Bebelpl. 1, 10117 Berlin, Germany",4.6,1738,"('SRID=4326;POINT (13.393928599999999 52.516506799999995)',)","Memorial site of a Nazi book burning. Sunken monument with empty shelves, marking the site of approximately 20,000 books burned by Nazis.",Historic Sites,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Denkmal_der_Buecherverbrennung.jpg/800px-Denkmal_der_Buecherverbrennung.jpg,,FALSE,TRUE,
Führerbunker,2021-10-28 09:50:08,GoogleMaps,"Gertrud-Kolmar-Straße 14, 10117 Berlin, Germany",3.8,149,"('SRID=4326;POINT (13.3805529 52.513425399999996)',)",The underground bunker where Adolf Hitler spent his last days.,Historic Sites,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Berlin_2011_location_of_F%C3%BChrerbunker.jpg/1920px-Berlin_2011_location_of_F%C3%BChrerbunker.jpg,,FALSE,TRUE,
Plötzensee monument,2021-10-28 09:50:20,GoogleMaps,"Hüttigpfad 16, 13627 Berlin, Germany",4.3,242,"('SRID=4326;POINT (13.32237 52.5407)',)",Historic prison and memorial to Nazi victims executed there.,Historic Sites,https://lh5.googleusercontent.com/p/AF1QipOEhK3YOgQ1_X4_ljBN-o9f5eT0srBeOh8zReFL=w732-h552-k-no,,FALSE,TRUE,
Platform 17 Memorial,2021-10-28 09:50:20,GoogleMaps,"Am Bahnhof Grunewald, 14193 Berlin, Germany",4.6,720,"('SRID=4326;POINT (13.2648949 52.4890098)',)","Holocaust monument at a train station. Series of iron plates at Grunewald Station marking the tragic deportation of 50,000+ Jews.",Historic Sites,https://lh5.googleusercontent.com/p/AF1QipNpJOVl4XhcUImgUFuP0wfK2LQAcob2VVsflrlj=w732-h552-k-no,,FALSE,TRUE,
